Unnamed: 0,Composition,MaterialId,Reduced Formula,Elements,NSites,Volume,Density,Point Group,Space Group,Space Group Number,Crystal System,Corrected Energy,Formation Energy Per Atom,Decomposition Energy Per Atom,Dimensionality Cheon,Bandgap,Is Train,Decomposition Energy Per Atom All,Decomposition Energy Per Atom Relative,Decomposition Energy Per Atom MP,Decomposition Energy Per Atom MP OQMD
304598,Ga2Na3Pt4Si2,ca91463567,Na3Ga2(SiPt2)2,"['Na', 'Si', 'Ga', 'Pt']",11,221.4186,7.8364,mm2,Fmm2,42,orthorhombic,-51.663,-0.5914,-0.1171,,0.0079,,0.0,,-0.1159,-0.0302
305348,B8Na6Pt16Rh2Si2,cb10ba8d42,Na3SiB4Pt8Rh,"['B', 'Na', 'Si', 'Rh', 'Pt']",34,503.6427,11.895,mmm,Cmcm,63,orthorhombic,-200.3915,-0.4796,-0.0198,,0.0048,,0.0,,-0.0196,-0.013
307158,Ca1Ir19Na4Si12,cc4b65ba47,Na4CaSi12Ir19,"['Na', 'Si', 'Ca', 'Ir']",36,564.713,12.1184,-6,P-6,174,hexagonal,-262.3897,-0.6128,-0.0919,,,,0.0,,-0.0914,-0.0723
308990,Na3Rb4Se20Si8Tl1,cd78d3159f,Rb4Na3Tl(Si2Se5)4,"['Na', 'Si', 'Se', 'Rb', 'Tl']",36,1169.0999,3.436,2,C2,5,monoclinic,-160.5999,-1.0286,-0.0157,,2.2615,,0.0,,-0.0157,-0.0156
309952,Na1Si16Tb7W12,ce1b5cc457,NaTb7(Si4W3)4,"['Na', 'Si', 'Tb', 'W']",36,608.9068,10.3381,1,P1,1,triclinic,-292.9518,-0.4691,-0.0326,,0.0029,,-0.0,,-0.0325,-0.0322
311194,Na4Pt4Si2,ceeed04cdc,Na2SiPt2,"['Na', 'Si', 'Pt']",10,203.676,7.5696,2/m,C2/c,15,monoclinic,-45.6641,-0.524,-0.0957,,0.0121,,0.0,,-0.094,-0.0553
311371,Na1Rh6Si14Th1,cf0f7def27,NaTh(Si7Rh3)2,"['Na', 'Si', 'Rh', 'Th']",22,341.2595,6.1586,-3,R-3,148,trigonal,-141.3497,-0.567,-0.0051,,0.0073,,0.0,,-0.0049,-0.0048
311439,Er7Na1Pt4Si12,cf1b31bf97,NaEr7(Si3Pt)4,"['Na', 'Si', 'Er', 'Pt']",24,466.6255,8.2245,6/mmm,P6/mmm,191,hexagonal,-143.4296,-0.8644,-0.0649,,0.0037,,-0.0,,-0.0648,-0.0026
311931,As3Na4P9Si12,cf67df7a29,Na4Si12(AsP3)3,"['Na', 'Si', 'P', 'As']",28,633.0207,2.4462,m,Pm,6,monoclinic,-139.909,-0.2435,-0.0457,,1.4394,,0.0,,-0.0457,-0.0196
312141,Ir19Na4Pa1Si12,cf8d16ee88,Na4PaSi12Ir19,"['Na', 'Si', 'Ir', 'Pa']",36,565.0499,12.6723,mm2,Amm2,38,orthorhombic,-271.1429,-0.6468,-0.075,,,,0.0,,-0.075,-0.0661
312465,Li8Na12P12Si2Sn2,cfc3a26bec,Na6Li4SiSnP6,"['Li', 'Na', 'Si', 'P', 'Sn']",36,715.6483,2.3126,222,C222_1,20,orthorhombic,-132.9062,-0.4982,-0.0269,,1.302,,0.0,,-0.0269,-0.0207
314239,Na4S6Si2Yb1,d0f652d2a2,Na4Yb(SiS3)2,"['Na', 'Si', 'S', 'Yb']",13,289.1607,2.9492,2,C2,5,monoclinic,-61.4675,-1.4591,-0.0986,,3.3037,,0.0,,-0.0986,-0.0452
316006,Mn2Na4O8Si2,d21bbe1c0e,Na2MnSiO4,"['O', 'Na', 'Si', 'Mn']",16,217.9293,2.9412,m,Pc,7,monoclinic,-114.6568,-2.538,-0.0183,,2.3486,,0.0,,-0.0183,-0.0049
316194,Na16P12Rb4Si4,d23b85332e,RbNa4SiP3,"['Na', 'Si', 'P', 'Rb']",36,899.1084,2.2047,mmm,Pnma,62,orthorhombic,-126.4782,-0.4093,-0.0305,,0.9607,,-0.0,,-0.0305,-0.0041
317958,Bi2Ca9Na1Si4,d366b8ad3d,NaCa9(Si2Bi)2,"['Na', 'Si', 'Ca', 'Bi']",16,460.2159,3.2979,4/m,I4/m,87,tetragonal,-58.4644,-0.6006,-0.0361,,0.0098,,-0.0,,-0.0358,-0.035
318139,Na1Pr3Pt6Si10,d388dfda2b,NaPr3(Si5Pt3)2,"['Na', 'Si', 'Pr', 'Pt']",20,357.7584,8.8053,m,Cm,8,monoclinic,-123.4456,-0.8551,-0.0211,,0.0046,,0.0,,-0.0209,-0.0026
319327,Bi4Na4O16Si4,d44ec77751,NaSiBiO4,"['O', 'Na', 'Si', 'Bi']",28,403.2747,5.3373,mmm,Pnma,62,orthorhombic,-191.1868,-2.481,-0.0133,,3.3612,,0.0,,-0.0133,-0.0131
320359,Cu1Na2Pd6Si3,d4fc522d61,Na2Cu(SiPd2)3,"['Na', 'Si', 'Cu', 'Pd']",12,199.3485,6.9329,m,Cm,8,monoclinic,-60.4205,-0.5267,-0.0093,,0.0057,,0.0,,-0.0086,-0.0086
321360,As12Hf1Li8Na12Si3,d5ad097370,Na12Li8Hf(SiAs4)3,"['Li', 'Na', 'Si', 'As', 'Hf']",36,763.2419,3.2487,2,C2,5,monoclinic,-133.8369,-0.5709,-0.0452,,,,0.0,,-0.0452,-0.0338
322782,Ir19Na3Sc2Si12,d69c20050a,Na3Sc2Si12Ir19,"['Na', 'Si', 'Sc', 'Ir']",36,558.2879,12.3377,mm2,Amm2,38,orthorhombic,-274.9642,-0.7027,-0.0874,,0.0055,,0.0,,-0.087,-0.077
324566,As4La2Na1Pd20Si2,d7d870599d,NaLa2Si2(AsPd5)4,"['Na', 'Si', 'As', 'Pd', 'La']",29,495.3894,9.3355,4/mmm,I4/mmm,139,tetragonal,-162.431,-0.6259,-0.0437,,,,0.0,,-0.0437,-0.0417
324797,Dy1Na1Pr2Pt6Si10,d804122a59,NaPr2Dy(Si5Pt3)2,"['Na', 'Si', 'Pr', 'Dy', 'Pt']",20,352.9609,9.0265,m,Cm,8,monoclinic,-123.1714,-0.8501,-0.0226,,0.0095,,0.0,,-0.0224,-0.0086
326805,Au2Na1Sc1Si2,d9538827aa,NaSc(SiAu)2,"['Na', 'Si', 'Sc', 'Au']",6,115.7412,7.4325,-6m2,P-6m2,187,hexagonal,-28.0171,-0.4939,-0.011,,0.015,,-0.0,,-0.011,-0.0028
326988,Ce1Ir6Na1Si14,d9712f3112,NaCe(Si7Ir3)2,"['Na', 'Si', 'Ce', 'Ir']",22,340.052,8.3483,-3,R-3,148,trigonal,-149.4494,-0.6004,-0.0278,,0.0125,,0.0,,-0.0276,-0.0274
327220,Ir19Na5P11Si1,d99ae64373,Na5SiP11Ir19,"['Na', 'Si', 'P', 'Ir']",36,546.6349,12.5637,mm2,Amm2,38,orthorhombic,-258.1753,-0.5184,-0.1001,,0.0066,,0.0,,-0.1001,-0.0658
327519,Ba2Na1Pt7Si2,d9c9697336,Ba2NaSi2Pt7,"['Na', 'Si', 'Ba', 'Pt']",12,238.9258,11.9499,-3m,R-3m,166,trigonal,-67.5142,-0.7506,-0.0619,,0.0384,,-0.0,,-0.0619,-0.0439
327939,Dy1Ir6Na1Si14,da121e1198,NaDy(Si7Ir3)2,"['Na', 'Si', 'Dy', 'Ir']",22,337.0078,8.534,-3,R-3,148,trigonal,-148.1318,-0.6008,-0.0412,,0.0171,,0.0,,-0.041,-0.04
328927,Na1P1Rh2Si1,dab2a372fa,NaSiPRh2,"['Na', 'Si', 'P', 'Rh']",5,80.3346,5.9502,4mm,I4mm,107,tetragonal,-30.3249,-0.687,-0.0312,,0.0113,,0.0,,-0.0312,-0.0081
330038,Hf1Na16P8Si1,db757a67ca,Na16HfSiP8,"['Na', 'Si', 'P', 'Hf']",26,603.5959,2.2619,-43m,F-43m,216,cubic,-91.4881,-0.4449,-0.0118,,,,0.0,,-0.0118,-0.0104
330312,Ir6Na1Pr1Si14,dba083e1ec,NaPr(Si7Ir3)2,"['Na', 'Si', 'Pr', 'Ir']",22,341.9563,8.3057,-3,R-3,148,trigonal,-147.808,-0.5782,-0.0441,,0.0045,,0.0,,-0.0439,-0.0112
330697,Li8Na12P12Si2Zr2,dbe474149d,Na6Li4ZrSiP6,"['Li', 'Na', 'Si', 'P', 'Zr']",36,720.8892,2.1692,222,C222_1,20,orthorhombic,-146.0023,-0.6099,-0.0108,,,,0.0,,-0.0108,-0.0076
332239,Lu2Na2O12Si4,dcf57b38bf,NaLu(SiO3)2,"['O', 'Na', 'Si', 'Lu']",20,249.9718,4.6517,2/m,C2/c,15,monoclinic,-160.024,-3.363,-0.0073,,4.8718,,0.0,,-0.0073,-0.0073
333660,Ba4Li3Na1Si8,dde857fb28,Ba4NaLi3Si8,"['Li', 'Na', 'Si', 'Ba']",16,408.0762,3.3278,m,Pm,6,monoclinic,-63.289,-0.3226,-0.0051,,,,0.0,,-0.0048,-0.0033
333723,Na6Pt12Sb2Si4,ddf2c33b61,Na3Si2SbPt6,"['Na', 'Si', 'Sb', 'Pt']",24,426.2189,11.0443,6/mmm,P6_3/mmc,194,hexagonal,-125.3065,-0.6056,-0.0371,,,,0.0,,-0.0371,-0.0313
334073,Na3Ni1Pt3Si4,de2c3f3d0e,Na3Si4NiPt3,"['Na', 'Si', 'Ni', 'Pt']",11,202.6589,6.762,3m,R3m,160,trigonal,-55.527,-0.5332,-0.0801,,0.0349,,0.0,,-0.0789,-0.0042
334103,Na1Rh6Si14Y1,de30210d72,NaY(Si7Rh3)2,"['Na', 'Si', 'Y', 'Rh']",22,335.9032,5.5492,-3,R-3,148,trigonal,-140.4093,-0.5673,-0.0081,,0.0111,,0.0,,-0.0079,-0.0076
334572,Na2O7Si2Sn2,de7d88f104,Na2Si2Sn2O7,"['O', 'Na', 'Si', 'Sn']",13,197.8139,3.7907,-3,P-3,147,trigonal,-88.97,-2.5239,-0.0123,,2.2168,,0.0,,-0.0123,-0.0122
334746,Ge1Na8Rb8Si15,de998eca89,Rb8Na8Si15Ge,"['Na', 'Si', 'Ge', 'Rb']",32,945.785,2.3906,1,P1,1,triclinic,-105.4519,-0.0342,-0.0128,,,,0.0,,-0.0128,-0.0126
334944,Na4O16Sc4Si4,debbdf339a,NaScSiO4,"['O', 'Na', 'Si', 'Sc']",28,337.3142,3.1512,mmm,Pnma,62,orthorhombic,-224.1124,-3.308,-0.0055,,4.4344,,-0.0,,-0.0055,-0.0055
335392,Ir19Na4Si12Yb1,df08d9cc2b,Na4YbSi12Ir19,"['Na', 'Si', 'Yb', 'Ir']",36,565.9243,12.4826,-6,P-6,174,hexagonal,-262.2973,-0.6232,-0.0928,,0.0038,,0.0,,-0.0923,-0.0736
335883,Na1Rh6Sb3Si1,df5a03af02,NaSi(SbRh2)3,"['Na', 'Si', 'Rh', 'Sb']",11,191.0701,8.9844,-6m2,P-6m2,187,hexagonal,-69.3618,-0.5492,-0.0448,,0.0161,,-0.0,,-0.0448,-0.0088
336023,Na1Pt4Si4Yb1,df752538b6,NaYb(SiPt)4,"['Na', 'Si', 'Yb', 'Pt']",10,174.744,10.3457,4mm,P4mm,99,tetragonal,-56.9177,-0.8071,-0.0664,,0.0013,,0.0,,-0.066,-0.0183
336474,Cd2Na4O8Si2,dfc370b58a,Na2CdSiO4,"['O', 'Na', 'Si', 'Cd']",16,229.4128,3.626,m,Pc,7,monoclinic,-95.6413,-2.3794,-0.0133,,2.4425,,0.0,,-0.0133,-0.013
338248,As12Na4Si12,e0f957f9ee,Na(SiAs)3,"['Na', 'Si', 'As']",28,679.4372,3.2457,mmm,Pbam,55,orthorhombic,-131.949,-0.2016,-0.0445,,1.3565,,0.0,,-0.0445,-0.022
339331,Na1Se2Si1Th2,e1a8b7d450,NaTh2SiSe2,"['Na', 'Si', 'Se', 'Th']",6,165.4336,6.756,-3m,P-3m1,164,trigonal,-37.1866,-1.4365,-0.0849,,0.0162,,0.0,,-0.0849,-0.0627
340301,Au20Ba3Na1Si8,e24bef7910,Ba3Na(Si2Au5)4,"['Na', 'Si', 'Ba', 'Au']",32,659.1479,11.5859,m,Pm,6,monoclinic,-126.7901,-0.3385,-0.0468,,0.0026,,0.0,,-0.0468,-0.0434
340357,Na2Pd1Pt5Si4,e255d822ae,Na2Si4PdPt5,"['Na', 'Si', 'Pd', 'Pt']",12,204.8166,10.0545,1,P1,1,triclinic,-67.8146,-0.6612,-0.0753,,0.0116,,0.0,,-0.0746,-0.0197
342146,Na1Rh6Si14Tm1,e384a540a8,NaTm(Si7Rh3)2,"['Na', 'Si', 'Rh', 'Tm']",22,334.2117,5.9749,-3,R-3,148,trigonal,-138.3963,-0.5663,-0.0139,,0.0121,,0.0,,-0.0137,-0.0135
342581,Na4Se6Si2Yb1,e3cf8f7192,Na4Yb(SiSe3)2,"['Na', 'Si', 'Se', 'Yb']",13,331.2592,3.9848,2,C2,5,monoclinic,-55.6419,-1.3066,-0.0378,,2.7254,,0.0,,-0.0378,-0.0372
342871,Ca4Ir10Na1Si10,e40124ddfb,NaCa4(SiIr)10,"['Na', 'Si', 'Ca', 'Ir']",25,412.7567,9.6003,4/m,I4/m,87,tetragonal,-173.5389,-0.8621,-0.0866,,,,0.0,,-0.0866,-0.0168
343440,B36C1Mg2Na1Si9,e467aa641c,NaMg2Si9B36C,"['B', 'C', 'Na', 'Mg', 'Si']",49,486.0456,2.4789,m,Cm,8,monoclinic,-308.3344,-0.1081,-0.0119,,,,0.0,,-0.0119,-0.0117
345225,Ge1Na12Pt8Si7,e58d944df2,Na12Si7GePt8,"['Na', 'Si', 'Ge', 'Pt']",28,599.2022,5.8357,m,Pm,6,monoclinic,-120.0194,-0.4636,-0.0821,,0.0009,,0.0,,-0.0803,-0.0119
346294,As4Na1Pd20Si2Yb2,e64ffb7bb0,NaYb2Si2(AsPd5)4,"['Na', 'Si', 'As', 'Pd', 'Yb']",29,483.6839,9.7958,4/mmm,I4/mmm,139,tetragonal,-154.8795,-0.5998,-0.0425,,,,0.0,,-0.0425,-0.0256
347563,Hf2Na4O22Si8,e72828904f,Na2HfSi4O11,"['O', 'Na', 'Si', 'Hf']",36,482.7346,3.528,2/m,C2/c,15,monoclinic,-293.9914,-3.2369,-0.0214,,4.6105,,-0.0,,-0.0214,-0.0082
347630,La2Na2Se8Si2,e73535d773,NaLaSiSe4,"['Na', 'Si', 'Se', 'La']",14,395.9316,4.2428,2,P2_1,4,monoclinic,-72.1137,-1.4842,-0.0189,,2.3099,,-0.0,,-0.0189,-0.0156
349143,Na1P5Pd20Si1Tm2,e82c3aebd7,NaTm2Si(PPd4)5,"['Na', 'Si', 'P', 'Pd', 'Tm']",29,455.4371,9.743,4mm,I4mm,107,tetragonal,-166.1896,-0.6835,-0.0392,,,,0.0,,-0.0392,-0.0311
349163,Ge1Li8Na12P12Si3,e82f5350e2,Na12Li8Si3GeP12,"['Li', 'Na', 'Si', 'P', 'Ge']",36,685.9003,2.082,2,C2,5,monoclinic,-136.0334,-0.5287,-0.0547,,,,0.0,,-0.055,-0.0433
349630,Ac9Na1Pb2Si4,e87e67add8,NaAc9(Si2Pb)2,"['Na', 'Si', 'Pb', 'Ac']",16,547.5558,7.8628,4/m,I4/m,87,tetragonal,-75.0697,-0.4704,-0.3233,,,,0.0,,-0.3233,-0.2072
350584,Na4O20Si4Ta4,e9181a3eba,NaTaSiO5,"['O', 'Na', 'Si', 'Ta']",32,404.3212,5.1258,-1,C2/c,15,monoclinic,-274.4269,-3.1577,-0.0139,,3.7604,,0.0,,-0.0139,-0.0139
350963,Ir19Na2P6Sc3Si6,e957d3d7a8,Na2Sc3Si6P6Ir19,"['Na', 'Si', 'P', 'Sc', 'Ir']",36,547.0896,12.7095,mm2,Amm2,38,orthorhombic,-282.0024,-0.7611,-0.1106,,,,0.0,,-0.1106,-0.0953
351065,As3Ir19Na5Si9,e967cff546,Na5Si9As3Ir19,"['Na', 'Si', 'As', 'Ir']",36,572.6044,12.3093,-6m2,P-62m,189,hexagonal,-255.8124,-0.5129,-0.0367,,0.0021,,0.0,,-0.0367,-0.0365
353519,Cs8Ge1Na8Si15,eb0b09c4a9,Cs8Na8Si15Ge,"['Na', 'Si', 'Ge', 'Cs']",32,1020.4191,2.8333,1,P1,1,triclinic,-105.1387,-0.0435,-0.0145,,1.3444,,0.0,,-0.0136,-0.0135
354378,As12Li8Na12Si3Sn1,eb94fb08d3,Na12Li8Si3SnAs12,"['Li', 'Na', 'Si', 'As', 'Sn']",36,768.9594,3.0954,2,C2,5,monoclinic,-126.1863,-0.5236,-0.0495,,0.8992,,0.0,,-0.0495,-0.0372
354960,Br18Na4Si1Zr6,ebf86988b7,Na4Zr6SiBr18,"['Na', 'Si', 'Br', 'Zr']",29,903.3338,3.8707,-1,P-1,2,triclinic,-142.6199,-1.7639,-0.0266,,1.4377,,0.0,,-0.0266,-0.0264
354977,Na2P5Pd20Si1Sr1,ebfb2abbb2,Na2SrSi(PPd4)5,"['Na', 'Si', 'P', 'Sr', 'Pd']",29,462.0977,8.7859,mm2,Imm2,44,orthorhombic,-156.8058,-0.5649,-0.0849,,,,0.0,,-0.0846,-0.0778
355220,Er1Na1Pr2Pt6Si10,ec2516d6e6,NaPr2Er(Si5Pt3)2,"['Na', 'Si', 'Pr', 'Er', 'Pt']",20,352.1551,9.0696,m,Cm,8,monoclinic,-123.0145,-0.8442,-0.0219,,0.01,,-0.0,,-0.0217,-0.0079
356113,Cs4Na4Se20Si8,ecbfb9c18d,CsNaSi2Se5,"['Na', 'Si', 'Se', 'Cs']",36,1200.5977,3.3574,mmm,Cmcm,63,orthorhombic,-160.5811,-1.0664,-0.0081,,2.4973,,0.0,,-0.0081,-0.0077
357611,Na5P6Rh19Si6,edbf3fbfc4,Na5Si6P6Rh19,"['Na', 'Si', 'P', 'Rh']",36,543.572,7.4065,-6m2,P-62m,189,hexagonal,-237.9223,-0.7321,-0.0481,,0.0003,,0.0,,-0.0479,-0.0459
357809,Cd2Na1Pt4Si2Sr1,eddf00957b,NaSrCd2(SiPt2)2,"['Na', 'Si', 'Sr', 'Cd', 'Pt']",10,200.8127,9.6909,4mm,P4mm,99,tetragonal,-46.6025,-0.6606,-0.0497,,,,0.0,,-0.0497,-0.0363
358523,Na3P4Pd20Si2,ee549b8b9b,Na3Si2(PPd5)4,"['Na', 'Si', 'P', 'Pd']",29,454.6004,8.6842,4/mmm,I4/mmm,139,tetragonal,-155.1536,-0.5197,-0.0815,,,,0.0,,-0.0815,-0.0647
359413,Na2Pt4Rh2Si4,eeea3c459b,NaSi2Pt2Rh,"['Na', 'Si', 'Rh', 'Pt']",12,198.364,9.5805,m,Cm,8,monoclinic,-71.7292,-0.6976,-0.0687,,0.0048,,0.0,,-0.068,-0.0308
359541,Na2Pd3Si1,eefeb7f8ec,Na2SiPd3,"['Na', 'Si', 'Pd']",6,104.6201,6.2429,-3m,R-3m,166,trigonal,-26.1565,-0.4244,-0.0199,,0.0118,,-0.0,,-0.0184,-0.0184
359880,Na16Se8Si4Te8,ef3a740c3c,Na4Si(TeSe)2,"['Na', 'Si', 'Se', 'Te']",36,1051.5226,3.3678,mmm,Pnma,62,orthorhombic,-132.8369,-1.0239,-0.0046,,2.0577,,0.0,,-0.0046,-0.0035
360539,Na1P2Pb2Pd20Si4,efa9501ad6,NaSi4P2(Pd10Pb)2,"['Na', 'Si', 'P', 'Pd', 'Pb']",29,464.4411,9.7967,4/mmm,I4/mmm,139,tetragonal,-160.569,-0.5412,-0.0324,,,,0.0,,-0.0324,-0.0225
361314,Ca1Na2Pd20Si6,f02af093ed,Na2Ca(Si3Pd10)2,"['Na', 'Si', 'Ca', 'Pd']",29,464.5791,8.5174,-43m,F-43m,216,cubic,-158.6119,-0.6142,-0.0403,,,,0.0,,-0.0399,-0.0394
361334,Na8P12Rb12Si3V1,f02fd5bbf9,Rb12Na8V(SiP4)3,"['Na', 'Si', 'P', 'V', 'Rb']",36,1024.005,2.7834,2,C2,5,monoclinic,-126.7397,-0.3909,-0.0483,,,,0.0,,-0.0483,-0.0079
364091,Na1Pd20Pr2Si6,f204703633,NaPr2(Si3Pd10)2,"['Na', 'Si', 'Pd', 'Pr']",29,472.6977,9.1396,m-3m,Fm-3m,225,cubic,-168.0764,-0.7255,-0.0263,,,,-0.0,,-0.0263,-0.022
365109,Ge1Li4Na1Si7Sm3,f2b374dc43,NaLi4Sm3Si7Ge,"['Li', 'Na', 'Si', 'Ge', 'Sm']",16,314.8628,4.0665,m,Pm,6,monoclinic,-72.7325,-0.4386,-0.0099,,,,0.0,,-0.0098,-0.0097
366743,As1Na4P11Si12,f3c6fc360e,Na4Si12AsP11,"['Na', 'Si', 'P', 'As']",28,628.2679,2.2324,m,Pm,6,monoclinic,-141.5438,-0.248,-0.0484,,1.5625,,-0.0,,-0.0484,-0.0177
366767,As12Li8Na12Si3Ti1,f3cd231cd0,Na12Li8Ti(SiAs4)3,"['Li', 'Na', 'Si', 'Ti', 'As']",36,755.6747,2.9942,2,C2,5,monoclinic,-131.8118,-0.5719,-0.0547,,,,0.0,,-0.0547,-0.0453
366995,Ba6Na16Si1,f3f0393975,Ba6Na16Si,"['Na', 'Si', 'Ba']",23,1019.3658,1.9872,m-3m,Im-3m,229,cubic,-39.2389,-0.0495,-0.0044,,0.0018,,0.0,,-0.0021,-0.002
367135,Er4Na4O16Si4,f40a3100f2,NaErSiO4,"['O', 'Na', 'Si', 'Er']",28,369.1397,5.0802,mmm,Pnma,62,orthorhombic,-219.1192,-3.3818,-0.032,,4.3289,,0.0,,-0.032,-0.0318
367518,As9Na4P3Si12,f448f85c5c,Na4Si12(As3P)3,"['Na', 'Si', 'P', 'As']",28,665.7535,2.9836,m,Pm,6,monoclinic,-134.6189,-0.2162,-0.0455,,1.3045,,0.0,,-0.0455,-0.0181
368556,Cs8Na4Rb4Si15Sn1,f503b1ea83,Cs8Rb4Na4Si15Sn,"['Na', 'Si', 'Rb', 'Sn', 'Cs']",32,1190.8468,2.8405,m,Pm,6,monoclinic,-103.312,-0.0484,-0.0055,,,,0.0,,-0.0055,-0.0053
368844,Ir19Na1Nd4Si12,f53715e5e4,NaNd4Si12Ir19,"['Na', 'Si', 'Nd', 'Ir']",36,579.9586,13.1395,mm2,Amm2,38,orthorhombic,-284.5258,-0.8638,-0.0664,,0.0052,,0.0,,-0.0663,-0.064
371856,Dy4Ir19Na1P3Si9,f743b0bdf5,NaDy4Si9P3Ir19,"['Na', 'Si', 'P', 'Dy', 'Ir']",36,562.4453,13.7899,mm2,Amm2,38,orthorhombic,-285.3806,-0.9065,-0.1368,,0.0046,,0.0,,-0.1368,-0.1104
372969,Ir6Na1Si14Tb1,f801c63510,NaTb(Si7Ir3)2,"['Na', 'Si', 'Tb', 'Ir']",22,337.5667,8.5023,-3,R-3,148,trigonal,-148.1424,-0.6,-0.0319,,0.0089,,0.0,,-0.0317,-0.0316
374826,Li8Na12P12Si1Sn3,f93d3ad0a4,Na12Li8Si(SnP4)3,"['Li', 'Na', 'Si', 'P', 'Sn']",36,730.9375,2.4701,2,C2,5,monoclinic,-130.9911,-0.4843,-0.0214,,,,0.0,,-0.0214,-0.0182
375505,Na1Pr1Pt6Si10Sr2,f9b38f2ca8,NaSr2Pr(Si5Pt3)2,"['Na', 'Si', 'Sr', 'Pr', 'Pt']",20,360.7684,8.2413,m,Cm,8,monoclinic,-115.2802,-0.756,-0.0427,,0.002,,0.0,,-0.0425,-0.0191
377140,Al3Au1Lu2Na1Si2,fac0c0256f,NaLu2Al3Si2Au,"['Na', 'Al', 'Si', 'Lu', 'Au']",9,172.6201,6.8011,mm2,Amm2,38,orthorhombic,-40.3587,-0.5148,-0.005,,0.0029,,0.0,,-0.0045,-0.003
377291,Na1Nd3Pt6Si10,fada7a9e94,NaNd3(Si5Pt3)2,"['Na', 'Si', 'Nd', 'Pt']",20,355.0149,8.9201,m,Cm,8,monoclinic,-123.4893,-0.8592,-0.0302,,0.006,,0.0,,-0.0299,-0.0216
379719,Na3P12Si12Tl1,fc7cb85b21,Na3Tl(SiP)12,"['Na', 'Si', 'P', 'Tl']",28,641.7855,2.541,m,Pm,6,monoclinic,-142.6443,-0.2228,-0.0451,,,,0.0,,-0.0451,-0.0191
380050,Dy2Na1P4Pd20Si2,fcb8766d1b,NaDy2Si2(PPd5)4,"['Na', 'Si', 'P', 'Pd', 'Dy']",29,460.0241,9.589,4/mmm,I4/mmm,139,tetragonal,-166.8956,-0.6986,-0.0404,,,,0.0,,-0.0403,-0.0362
380422,Cu1Na1Rh5Si4,fcf8176603,NaCuSi4Rh5,"['Na', 'Si', 'Cu', 'Rh']",11,159.8294,7.4119,mm2,Amm2,38,orthorhombic,-71.3975,-0.6775,-0.0127,,0.012,,0.0,,-0.0123,-0.0123
380758,Cs4Na4Se8Si1Ti1,fd338a6246,Cs4Na4TiSiSe8,"['Na', 'Si', 'Ti', 'Se', 'Cs']",18,675.0017,3.2749,-42m,P-42m,111,tetragonal,-74.0937,-1.3297,-0.0089,,1.9005,,0.0,,-0.0089,-0.0074
381204,In4Na4Se12Si2,fd7d122e16,Na2In2SiSe6,"['Na', 'Si', 'Se', 'In']",22,663.1363,3.8936,m,Cc,9,monoclinic,-91.0558,-0.9981,-0.035,,1.6163,,0.0,,-0.035,-0.0272
381895,Hf2Na20P12Si1Sn1,fdf3e9bad3,Na20Hf2SiSnP12,"['Na', 'Si', 'P', 'Sn', 'Hf']",36,815.5566,2.7187,1,P1,1,triclinic,-138.2301,-0.4853,-0.0156,,1.2431,,0.0,,-0.0156,-0.0142
382085,Na2Pd4Pt2Si4,fe1164805a,NaSi2Pd2Pt,"['Na', 'Si', 'Pd', 'Pt']",12,203.924,7.9326,m,Cm,8,monoclinic,-65.0166,-0.6507,-0.0437,,0.0145,,0.0,,-0.0435,-0.0213
384336,Cd2Na4O20Si8,ff9b41200f,Na2Cd(Si2O5)2,"['O', 'Na', 'Si', 'Cd']",34,478.8991,2.987,-1,P-1,2,triclinic,-247.0428,-2.869,-0.0033,,3.5177,,0.0,,-0.0033,-0.0032
